fold,accuracy,f1,auc,sensitivity,specificity,n_train,n_test
1,0.7862318840579711,0.8383561643835616,0.7711018711018711,0.827027027027027,0.7032967032967034,1105,276
2,0.9314079422382672,0.9473684210526315,0.9731492361927144,0.9243243243243243,0.9456521739130435,1104,277
3,0.8985507246376812,0.8992805755395683,0.9557428872497366,0.8561643835616438,0.9461538461538461,1105,276
4,0.8808664259927798,0.8341708542713567,0.9380179558011049,0.8645833333333334,0.8895027624309392,1104,277
5,0.9381818181818182,0.9377289377289377,0.9746031746031746,0.9481481481481482,0.9285714285714286,1106,275
