fold,accuracy,f1,auc,sensitivity,specificity,n_train,n_test,n_af_train,n_nsr_train
1,0.7282608695652174,0.7813411078717201,0.8042174042174043,0.7243243243243244,0.7362637362637363,1124,276,562,562
2,0.9350180505415162,0.95,0.977027027027027,0.9243243243243243,0.9565217391304348,1124,277,562,562
3,0.8876811594202898,0.8847583643122676,0.9553740779768176,0.815068493150685,0.9692307692307692,1202,276,601,601
4,0.8880866425992779,0.841025641025641,0.9642034990791897,0.8541666666666666,0.9060773480662984,1302,277,651,651
5,0.9454545454545454,0.9429657794676806,0.9616402116402116,0.9185185185185185,0.9714285714285714,1224,275,612,612
